TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
fly chr69D1-69D1	fly chr69D1-69D1	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	19835082,12798225,39440	CR32111,CR43431,caup
fly chr83A5-83A5	fly chr83A5-83A5	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	40661,40660,40659	CG31550,ksr,Hcs
fly chr6C6-6C6	fly chr6C6-6C6	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	19835072,31607,31608	CG44303,Pink1,CG3184
fly chr52E11-52E11	fly chr52E11-52E11	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	36784,3772101,3772305	CysRS,Ext2,CG10731
fly chr17C7-17C7	fly chr17C7-17C7	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	32851,32852,32853	CG6540,CG6617,Ing3
fly chr88A4-88A4	fly chr88A4-88A4	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	41706,41708,41707	Cyp6d5,CG9922,CG3061
fly chr41D3-41D3	fly chr41D3-41D3	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	12798068,35475,35478	CR43256,CG3107,gus
fly chr27C6-27C6	fly chr27C6-27C6	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	33973,33972,33971	Gas41,ihog,Fgop2
fly chr11D10-11D10	fly chr11D10-11D10	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	32256,32257,32258	hep,lic,CG2200
fly chr52D2-52D2	fly chr52D2-52D2	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	36749,36747,36748	bug,bdg,Diap2
fly chr94E1-94E1	fly chr94E1-94E1	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	42735,326142,42736	CenB1A,CG31457,CG31365
fly chr39C1-39C1	fly chr39C1-39C1	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	35399,12798033,35400	l(2)k14505,mir-4974,CG8671
fly chr52D14-52D14	fly chr52D14-52D14	0.0441236533790672	-3.12075928251579	3	3	0.000514226945491944	5834	16508	36767,36768,36766	CG8397,CG8399,Rrp42
