wtInsv__insvInsv	wtElba3__elba3Elba3	wtElba2__elba2Elba2	wtElba1__elba1Elba1	insvElba3__elba3Elba3	insvElba2__elba2Elba2	insvElba1__elba1Elba1	elba3Insv__insvInsv	elba3Elba2__elba2Elba2	elba2Insv__insvInsv	elba2Elba3__elba3Elba3	elba2Elba1__elba1Elba1	elba1Insv__insvInsv	elba1Elba3__elba3Elba3	elba1Elba2__elba2Elba2	Total	Name
X	X			X		X			X	X		X	X		2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X		X					X	X	X		X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X	X		X						X			X		7	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X		X	X								2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv
X	X			X			X		X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X			X			X		X	X			X		13	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X	X	X	X		X			X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X									X		X				1	wtInsv__insvInsv|elba2Insv__insvInsv|elba2Elba1__elba1Elba1
	X	X	X			X									11	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1
														X	20	elba1Elba2__elba2Elba2
													X		368	elba1Elba3__elba3Elba3
X	X	X	X	X	X				X			X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X		X	X					X			1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X	X		X	X	X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X	X		X						2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
						X									270	insvElba1__elba1Elba1
			X	X											14	wtElba1__elba1Elba1|insvElba3__elba3Elba3
X	X	X	X	X	X	X			X			X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv
				X			X					X			2	insvElba3__elba3Elba3|elba3Insv__insvInsv|elba1Insv__insvInsv
						X							X		2	insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
	X								X	X					7	wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
				X	X		X		X						1	insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv
	X								X	X			X		7	wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X			X		X				X					12	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
	X	X	X	X	X	X				X	X	X			2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
	X			X		X				X			X		44	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X			X	X		X						2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X		X	X	X	X				X	X		X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
			X	X		X									17	wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1
	X			X			X		X	X		X	X		4	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X												6	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1
	X		X	X		X			X	X					2	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
	X		X	X		X			X	X			X		2	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X			X		X	X		X	X		X	X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X			X									2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba1__elba1Elba1
X	X	X	X	X	X		X		X						1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv
X															454	wtInsv__insvInsv
X													X		14	wtInsv__insvInsv|elba1Elba3__elba3Elba3
X	X			X						X					16	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
X	X	X	X				X		X			X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X		X	X		X					X				1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba1__elba1Elba1
X	X			X						X			X		87	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X		X	X					X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba1Insv__insvInsv
X	X	X	X	X	X	X	X		X						7	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
X	X	X	X	X	X	X	X		X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
X	X								X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X								X	X			X		12	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X		X				X					2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
X	X			X		X				X			X		14	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X			X	X		X									1	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1
X	X		X	X					X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X			X			X		X	X		X			11	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X		X	X					X	X			X		18	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X			X		X	X		X	X		59	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X			X		X	X		X	X	X	1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3|elba1Elba2__elba2Elba2
X	X	X	X	X	X	X		X		X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Elba2__elba2Elba2|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X		X			X	X					1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X		X	X		X			X	X			X		25	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X	X										4	insvElba3__elba3Elba3|insvElba2__elba2Elba2
												X			193	elba1Insv__insvInsv
												X	X		3	elba1Insv__insvInsv|elba1Elba3__elba3Elba3
				X	X	X									14	insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
	X		X	X	X	X	X	X	X	X		X	X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X	X		X			X			4	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X	X	X		X				X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Elba3__elba3Elba3
	X								X	X		X	X		1	wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X			X	X		X			X			9	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X			X	X	X			X	X			X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X	X								X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba1Elba3__elba3Elba3
	X	X		X		X				X	X				1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
	X	X	X				X								2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba3Insv__insvInsv
X	X	X	X	X	X	X									21	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1
	X		X	X		X			X	X		X	X		3	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X	X	X	X	X	X							X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
X							X		X		X		X		1	wtInsv__insvInsv|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
	X							X							1	wtElba3__elba3Elba3|elba3Elba2__elba2Elba2
							X								674	elba3Insv__insvInsv
X												X			34	wtInsv__insvInsv|elba1Insv__insvInsv
							X						X		4	elba3Insv__insvInsv|elba1Elba3__elba3Elba3
X												X	X		2	wtInsv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X						X		X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
	X			X			X			X			X		4	wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X					X	X	X				2	insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X			X						X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X		X	X		X	X	X		X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X			X	X				X	X			X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X	X	X	X		X			X			56	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X			X	X								X			1	wtInsv__insvInsv|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba1Insv__insvInsv
X	X	X	X	X	X	X	X		X			X	X		13	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X						X		X	X					1	wtElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X								X	X		X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
X	X								X	X		X	X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X			X		X				X		X	X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X		X	X	X	X	X			X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
			X				X		X						2	wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv
				X		X			X	X	X		X		2	insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X			X						X			X			1	wtInsv__insvInsv|wtElba1__elba1Elba1|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X			X	X	X			X	X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X					X	X		X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
	X		X	X			X		X	X			X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X					X	X		X	X		9	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X	X	X		X			X		1	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X				X								2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|elba3Insv__insvInsv
	X		X	X		X	X		X	X					1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3
X	X		X	X		X			X	X		X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv
	X	X								X					2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|elba2Elba3__elba3Elba3
X	X		X	X		X			X	X		X	X		14	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X								X			X		2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X	X	X	X						X					2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3
	X	X	X	X						X			X		5	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X	X	X	X		X			X	X	X				1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1
X	X	X	X	X		X			X	X	X		X		3	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Elba3__elba3Elba3
X	X			X			X			X			X		4	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X	X	X	X		X				X					12	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
							X		X		X	X			1	elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
X	X				X		X		X			X			1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba2__elba2Elba2|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
	X	X	X	X		X				X			X		36	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X		X	X			X			X		1	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X		X	X		X		X							1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Elba2__elba2Elba2
X	X		X	X			X		X	X			X		4	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
				X	X	X						X			1	insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba1Insv__insvInsv
X	X		X	X	X	X	X		X			X			13	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X		X	X	X	X	X		X			X	X		5	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
	X	X	X	X	X	X	X								2	wtElba3__elba3Elba3|wtElba2__elba2Elba2|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv
X							X		X		X	X			2	wtInsv__insvInsv|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
	X									X					117	wtElba3__elba3Elba3|elba2Elba3__elba3Elba3
	X									X			X		134	wtElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
			X												75	wtElba1__elba1Elba1
							X					X			69	elba3Insv__insvInsv|elba1Insv__insvInsv
	X					X				X					4	wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3
X							X	X	X						1	wtInsv__insvInsv|elba3Insv__insvInsv|elba3Elba2__elba2Elba2|elba2Insv__insvInsv
				X	X	X	X								1	insvElba3__elba3Elba3|insvElba2__elba2Elba2|insvElba1__elba1Elba1|elba3Insv__insvInsv
	X					X				X			X		5	wtElba3__elba3Elba3|insvElba1__elba1Elba1|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X	X			X		X	X		X	X	X	X			2	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv
X	X			X		X	X		X	X	X	X	X		5	wtInsv__insvInsv|wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba2Elba1__elba1Elba1|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
			X			X									46	wtElba1__elba1Elba1|insvElba1__elba1Elba1
			X			X							X		1	wtElba1__elba1Elba1|insvElba1__elba1Elba1|elba1Elba3__elba3Elba3
	X		X						X	X			X		1	wtElba3__elba3Elba3|wtElba1__elba1Elba1|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
	X			X		X	X			X		X	X		1	wtElba3__elba3Elba3|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
			X				X		X			X			1	wtElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Insv__insvInsv
X	X	X		X		X	X		X					X	1	wtInsv__insvInsv|wtElba3__elba3Elba3|wtElba2__elba2Elba2|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba1Elba2__elba2Elba2
	X		X	X		X	X		X	X		X	X		3	wtElba3__elba3Elba3|wtElba1__elba1Elba1|insvElba3__elba3Elba3|insvElba1__elba1Elba1|elba3Insv__insvInsv|elba2Insv__insvInsv|elba2Elba3__elba3Elba3|elba1Insv__insvInsv|elba1Elba3__elba3Elba3
X	X									X					13	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Elba3__elba3Elba3
X	X									X			X		16	wtInsv__insvInsv|wtElba3__elba3Elba3|elba2Elba3__elba3Elba3|elba1Elba3__elba3Elba3
X			X												3	wtInsv__insvInsv|wtElba1__elba1Elba1
